"Formation","validName","SourceNameAuthor","References","Observaciones","Chronostratigraphy","long","lat","AgeGroup"
"MazonCreek","Cyathocarpus_arboreus","Pecopteris arborescens (Brongniart) Sternberg","Noé (1925)",NA,"UpperPennsylvanian",-88.2725858979287,41.2130891821913,"UP"
"Mengkarang","Cyathocarpus_hemitelioides","Pecopteris hemitelioides Brongniart","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"P"
"Mengkarang","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"P"
"Mengkarang","Cyathocarpus_daubreei","Pecopteris daubreei Zeiller","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"P"
"Mengkarang","Dizeugotheca_spAvanWaveren2007","Dizeugotheca_spA","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"P"
"Llewellyn","Cyathocarpus_arboreus","Pecopteris arborescens Sternberg","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"Llewellyn","Cyathocarpus_candolleanus","Pecopteris candolliana Brongniart","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"Llewellyn","Cyathocarpus_cyatheus","Pecopteris cyathea Brongniart","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"Llewellyn","Cyathocarpus_hemitelioides","Pecopteris hemitelioides Brongniart","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"Llewellyn","Cyathocarpus_lepidorachis","Pecopteris lepidorachis Brongniart","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"TaiyuanWuda","Cyathocarpus_arboreus","Pecopteris arborescens Sternberg","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"P"
"TaiyuanWuda","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"P"
"TaiyuanWuda","Cyathocarpus_cyatheus","Pecopteris cyathea Brongniart","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"P"
"TaiyuanWuda","Cyathocarpus_hemitelioides","Pecopteris hemitelioides Brongniart","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"P"
"NWSpain","Cyathocarpus_arboreus","Pecopteris arborescens Sternberg","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.86844399018913,42.9802000230908,"UP"
"NWSpain","Cyathocarpus_daubreei","Pecopteris daubreei Zeiller","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.86844399018913,42.9802000230908,"UP"
"NWSpain","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.86844399018913,42.9802000230908,"UP"
"NWSpain","Cyathocarpus_cyatheus","Pecopteris cyathea Brongniart","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.86844399018913,42.9802000230908,"UP"
"SWSpain","Cyathocarpus_daubreei","Pecopteris daubreei Zeiller","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.14341937111948,37.6899997195814,"UP"
"SWSpain","Cyathocarpus_cyatheus","Pecopteris cyathea Brongniart","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.14341937111948,37.6899997195814,"UP"
"SWSpain","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.14341937111948,37.6899997195814,"UP"
"SWSpain","Cyathocarpus_arboreus","Pecopteris arborescens Sternberg","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.14341937111948,37.6899997195814,"UP"
"SidneyCoalfield","Cyathocarpus_cyatheus","Eupecopteris (Asterotheca) cyathea (Schloteim) Bell","Bell (1938)",NA,"UpperPennsylvanian",-60.2854269196216,46.2084529629023,"UP"
"Radstock","Cyathocarpus_lepidorachis","Asterotheca lepidorachis (Brongniart) Kidston","Kidston (1923)",NA,"UpperPennsylvanian",-2.44746544500518,51.30788888339,"UP"
"Radstock","Cyathocarpus_hemitelioides","Asterotheca hemitelioides (Brongniart) Kidston","Kidston (1923)",NA,"UpperPennsylvanian",-2.44746544500518,51.30788888339,"UP"
"Staffordshire","Cyathocarpus_hemitelioides","Asterotheca hemitelioides (Brongniart) Kidston","Kidston (1923)",NA,"UpperPennsylvanian",-2.10581870873082,52.7692365769465,"UP"
"Radstock","Cyathocarpus_candolleana","Asterotheca candolleana (Brongniart) Kidston","Kidston (1923)",NA,"UpperPennsylvanian",-2.44746544500518,51.30788888339,"UP"
"Radstock","Cyathocarpus_cyatheus","Asterotheca cyathea (Schloteim) Kidston","Kidston (1923)",NA,"UpperPennsylvanian",-2.44746544500518,51.30788888339,"UP"
"Staffordshire","Cyathocarpus_cyatheus","Asterotheca cyathea (Schloteim) Kidston","Kidston (1923)",NA,"UpperPennsylvanian",-2.10581870873082,52.7692365769465,"UP"
"Radstock","Cyathocarpus_arboreus","Asterotheca arborescens (Schloteim) Kidston","Kidston (1923)",NA,"UpperPennsylvanian",-2.44746544500518,51.30788888339,"UP"
"Staffordshire","Cyathocarpus_arboreus","Asterotheca arborescens (Schloteim) Kidston","Kidston (1923)",NA,"UpperPennsylvanian",-2.10581870873082,52.7692365769465,"UP"
"Radstock","Cyathocarpus_daubreei","Asterotheca daubreei Zeiller","Kidston (1923)",NA,"UpperPennsylvanian",-2.44746544500518,51.30788888339,"UP"
"Matzitzi","Cyathocarpus_cyatheus","Pecopteris cyathea Schlotheim","Silva Pineda (1970)","Material fertil, pero lo asignan a Pecopteris","UpperPennsylvanian",-97.4652584325662,18.316071232755,"UP"
"Hohengeroldseck","Cyathocarpus_cyatheus","Cyathocarpus cyatheus (Brongniart) Mosbrugger","Mosbrugger and Vogellehner (1986)",NA,"UpperPennsylvanian",7.983968,48.33699,"UP"
"Hohengeroldseck","Cyathocarpus_arboreus","Cyathocarpus arborea (Sternberg) Weiss","Mosbrugger and Vogellehner (1986)",NA,"UpperPennsylvanian",7.983968,48.33699,"UP"
"Hohengeroldseck","Cyathocarpus_candolleanus","Cyathocarpus candolleanus (Brongniart) Weiss","Mosbrugger and Vogellehner (1986)",NA,"UpperPennsylvanian",7.983968,48.33699,"UP"
"Hohengeroldseck","Cyathocarpus_lepidorachis","Cyathocarpus lepidorachis (Brongniart) Mosbrugger","Mosbrugger and Vogellehner (1986)",NA,"UpperPennsylvanian",7.983968,48.33699,"UP"
"Hohengeroldseck","Cyathocarpus_hemitelioides","Cyathocarpus hemitelioides (Brongniart) Mosbrugger","Mosbrugger and Vogellehner (1986)",NA,"UpperPennsylvanian",7.983968,48.33699,"UP"
"MontceauLesMines","Cyathocarpus_arboreus","Pecopteris (Asterotheca) arborescens Schlotheim","Zeiller (1902)",NA,"UpperPennsylvanian",4.35447469387977,46.6754994239967,"UP"
"MontceauLesMines","Cyathocarpus_cyatheus","Pecopteris (Asterotheca) cyathea Schlotheim","Zeiller (1902)",NA,"UpperPennsylvanian",4.35447469387977,46.6754994239967,"UP"
"MontceauLesMines","Cyathocarpus_candolleanus","Pecopteris (Asterotheca) candolleana Brongniart","Zeiller (1902)",NA,"UpperPennsylvanian",4.35447469387977,46.6754994239967,"UP"
"MontceauLesMines","Cyathocarpus_hemitelioides","Pecopteris (Asterotheca) hemitelioides Brongniart","Zeiller (1902)",NA,"UpperPennsylvanian",4.35447469387977,46.6754994239967,"UP"
"MontceauLesMines","Cyathocarpus_daubreei","Pecopteris (Asterotheca) daubreei Zeiller","Zeiller (1902)",NA,"UpperPennsylvanian",4.35447469387977,46.6754994239967,"UP"
"WankieCoalfield","Cyathocarpus_arboreus","Pecopteris arborescens Schlotheim","Walton (1929)",NA,"Cisuralian",26.4900117476078,-18.3627193745139,"P"
"LaGolondrina","Cyathocarpus_polinensis","Cyathocarpus polinensis Rodriguez Rizk and Cariglino","This study",NA,"Kungurian–Capitanian",-67.2398571988655,-48.1617783610559,"P"
"Xuanwei","Cyathocarpus_benefoliatii","Cyathocarpus benefoliatii Guo, Zhou and Feng","Guo et al. (2024)",NA,"Lopingian",104.388888888889,25.8419444444445,"P"
"Shanxi","Cyathocarpus_yongchangensis","Cyathocarpus yongchangensis Sun F.K. and Sun B.N","Sun et al. (2017)",NA,"Cisuralian",101.998853171799,38.3124679710261,"P"
"SanLorenzo","Cyathocarpus_arboreus","Cyathocarpus arboreus (Sternberg) Weiss","Sabatini (2021)",NA,"UpperPennsylvanian",10.4602518453756,43.7952217439968,"UP"
"SanLorenzo","Cyathocarpus_daubreei","Cyathocarpus daubreei (Zeiller) De Stefani","Sabatini (2021)",NA,"UpperPennsylvanian",10.4602518453756,43.7952217439968,"UP"
